"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,
-2704187.1365,-4261015.6799,3887514.8005,-2704224.7535,-4261077.7368,3887609.6151,-2704186.5534,0.10349,-4261003.4037,0.25132,3887513.2047,0.03522,
-2704177.71,-4261017.7771,3887528.0677,-2704192.6278,-4261109.3075,3887659.0773,-2704187.2256,0.05812,-4261016.9351,0.25225,3887535.6601,0.0037182,
-2704177.4332,-4261029.6508,3887541.8494,-2704096.665,-4261023.8477,3887647.5208,-2704177.0798,-0.0030068,-4261017.7974,0.27773,3887552.8771,-0.04304,
-2704178.3027,-4261040.6403,3887556.327,-2704174.3426,-4261113.372,3887668.1871,-2704176.7732,0.012436,-4261030.0042,0.29928,3887570.6222,-0.050612,
-2704174.7454,-4261043.5011,3887564.5252,-2704186.5934,-4261116.2375,3887689.201,-2704177.8702,0.08304,-4261041.0143,0.28946,3887588.871,-0.013808,
-2704164.7847,-4261040.3062,3887568.3467,-2704142.1557,-4261046.2149,3887638.9309,-2704173.8629,0.090907,-4261041.6552,0.24879,3887596.5764,0.025563,
-2704152.1077,-4261026.4831,3887553.2171,-2704075.4927,-4260990.485,3887602.83,-2704162.8402,0.0044701,-4261035.0856,0.20438,3887597.5415,0.039402,
-2704139.2797,-4261009.8147,3887537.5357,-2704037.9599,-4260882.0285,3887417.8934,-2704148.856,-0.07363,-4261015.4798,0.20604,3887569.8918,0.0059131,
-2704130.1773,-4261010.4066,3887542.1856,-2704021.8231,-4260840.1635,3887397.8209,-2704134.6352,-0.043828,-4260993.0247,0.23878,3887543.4072,0.029439,
-2704116.1172,-4261016.4552,3887544.1429,-2704048.9596,-4260997.9897,3887582.672,-2704125.0423,0.038381,-4260993.639,0.25444,3887549.4561,0.12179,
-2704108.9143,-4261020.8141,3887550.4334,-2703989.108,-4261051.6217,3887564.8274,-2704109.8141,0.091359,-4261001.0374,0.25085,3887551.8318,0.10124,
-2704097.2839,-4261021.5592,3887547.7699,-2704043.9494,-4261039.41,3887607.7124,-2704102.4305,0.056597,-4261005.9265,0.24308,3887560.4401,0.043329,
-2704090.4243,-4261019.9401,3887547.3703,-2703992.6282,-4261007.853,3887523.5839,-2704090.1296,0.0090428,-4261006.1514,0.26797,3887554.7688,-0.024722,
-2704097.8974,-4261039.0395,3887567.7014,-2704026.8798,-4260996.0732,3887544.1494,-2704083.045,0.024629,-4261004.8376,0.30717,3887553.1329,0.0030852,
-2704094.1198,-4261043.5603,3887575.5585,-2704168.2884,-4261218.9043,3887748.8208,-2704092.5892,0.032657,-4261032.2067,0.30637,3887583.2575,0.11953,
-2704095.9441,-4261053.746,3887590.7839,-2704061.4302,-4261083.395,3887643.7782,-2704089.0976,-0.0046434,-4261038.7314,0.27592,3887592.5832,0.11955,
-2704090.0083,-4261057.7327,3887595.351,-2704114.5955,-4261134.2953,3887727.2942,-2704091.9557,-0.094299,-4261050.9382,0.23177,3887613.328,0.1022,
-2704096.9893,-4261073.3884,3887607.3842,-2704039.7413,-4261065.6559,3887637.1964,-2704086.1167,-0.10573,-4261052.8014,0.23874,3887617.0085,0.029851,
-2704102.0283,-4261095.5426,3887626.937,-2704162.4794,-4261193.3114,3887715.6017,-2704094.6767,-0.045768,-4261070.7622,0.27412,3887632.1871,0.038644,
-2704096.0737,-4261104.1148,3887639.2901,-2704147.8918,-4261268.9601,3887801.2163,-2704100.6387,0.026936,-4261096.1029,0.29844,3887658.2097,0.097663,
-2704088.2691,-4261106.2044,3887643.1967,-2704041.9917,-4261151.397,3887750.4634,-2704094.0675,0.065457,-4261103.1533,0.29552,3887672.4177,0.08673,
-2704080.5176,-4261109.7907,3887643.1497,-2704018.7444,-4261098.3239,3887677.9562,-2704085.6264,0.052406,-4261102.5098,0.27701,3887673.275,-0.0019501,
-2704077.9153,-4261116.2308,3887650.2371,-2704010.0121,-4261117.4411,3887644.706,-2704077.1537,0.046863,-4261104.3965,0.27449,3887668.8757,-0.059635,
-2704076.8326,-4261116.9017,3887660.8025,-2704054.0804,-4261154.0076,3887715.0556,-2704074.5658,0.035596,-4261110.7215,0.29047,3887675.9803,-0.011781,
-2704071.4929,-4261118.369,3887662.3916,-2704066.1894,-4261140.2112,3887753.1938,-2704073.6255,-0.0058327,-4261114.4701,0.29715,3887687.8671,0.087831,
-2704068.3994,-4261119.4534,3887664.2707,-2704024.0493,-4261156.0009,3887675.7884,-2704068.0749,-0.050555,-4261119.7595,0.27774,3887686.0151,0.078918,
-2704061.5047,-4261121.7155,3887664.6161,-2704042.7341,-4261152.5669,3887681.3039,-2704065.2419,-0.069883,-4261123.9343,0.25364,3887685.2945,0.003813,
-2704056.7711,-4261124.5616,3887664.018,-2704002.6221,-4261155.1132,3887666.3035,-2704058.2341,-0.02277,-4261127.9025,0.24923,3887682.3697,-0.064631,
-2704058.6241,-4261134.7901,3887670.6836,-2704016.2511,-4261176.5906,3887657.9372,-2704053.5332,0.029509,-4261134.1115,0.26705,3887678.604,-0.043587,
-2704059.8995,-4261147.231,3887689.6486,-2704074.518,-4261251.972,3887731.5091,-2704055.8803,0.04369,-4261149.1715,0.27947,3887686.7468,0.063194,
-2704057.893,-4261150.0993,3887689.5052,-2704070.877,-4261279.1137,3887860.1461,-2704057.5555,0.062826,-4261165.7769,0.27634,3887713.4442,0.12569,
-2704056.3237,-4261147.136,3887682.8982,-2704034.7201,-4261189.2559,3887687.9516,-2704054.9917,0.09786,-4261168.7577,0.27094,3887709.5277,0.01496,
-2704058.6926,-4261148.755,3887684.5452,-2704039.9825,-4261131.7917,3887624.4168,-2704053.3015,0.12372,-4261164.0032,0.27604,3887696.4259,-0.074175,
-2704057.9623,-4261155.3304,3887688.2279,-2704079.7446,-4261178.0111,3887699.2974,-2704056.2523,0.1079,-4261165.7716,0.28615,3887696.8632,-0.018392,
-2704061.3849,-4261157.7618,3887693.6843,-2704049.9107,-4261229.6337,3887720.7037,-2704055.5339,0.04728,-4261173.9195,0.2912,3887700.5343,0.089675,
-2704059.6762,-4261154.0617,3887693.1218,-2704091.3726,-4261196.335,3887744.2217,-2704059.5447,-0.008015,-4261176.7629,0.28438,3887707.2679,0.14059,
-2704054.5362,-4261140.1825,3887679.7505,-2704043.8726,-4261137.9219,3887686.234,-2704057.7896,0.017587,-4261171.7674,0.27839,3887704.0398,0.056392,
-2704054.1967,-4261144.0338,3887690.4726,-2704008.1676,-4261032.3403,3887560.1218,-2704052.229,0.095639,-4261153.8995,0.28418,3887681.8888,-0.059215,
-2704055.5342,-4261149.6808,3887699.9554,-2704051.1054,-4261198.6374,3887785.1848,-2704052.0939,0.12801,-4261159.6002,0.27871,3887697.7854,0.0055499,
-2704063.5844,-4261158.8632,3887702.3186,-2704067.1887,-4261223.9825,3887780.3705,-2704053.7751,0.040597,-4261167.8155,0.27492,3887710.5003,0.099134,
-2704060.0094,-4261158.2942,3887704.3814,-2704134.9556,-4261265.0145,3887723.0221,-2704062.8655,-0.065179,-4261180.2311,0.263,3887712.4368,0.12335,
-2704054.8384,-4261149.7184,3887697.41,-2704027.8415,-4261178.4162,3887720.1357,-2704058.9486,-0.053162,-4261179.9758,0.26931,3887713.6303,0.052189,
-2704047.8075,-4261143.4241,3887687.7233,-2704008.3086,-4261098.3176,3887631.4758,-2704053.2805,0.012958,-4261169.5015,0.29121,3887700.9859,-0.061731,
-2704039.799,-4261133.6836,3887669.4694,-2703984.42,-4261109.9898,3887601.0994,-2704045.5668,0.04763,-4261161.8593,0.32705,3887685.6045,-0.10461,
-2704033.9598,-4261120.3165,3887647.961,-2703970.5508,-4261055.256,3887503.3112,-2704037.1614,0.043743,-4261148.1873,0.3631,3887657.5366,-0.098154,
