"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,"IMUonly",,,
-2699391.6201,-4293235.9541,3855117.8926,-2699392.5357,-4293239.9021,3855121.2608,-2699391.3688,-0.02185,-4293236.813,0.058647,3855115.3701,1.0546,-2699453.7445,-4293274.3688,3855072.5305,
-2699391.6463,-4293231.9827,3855119,-2699391.7929,-4293238.7208,3855120.1929,-2699391.4192,-0.064888,-4293237.0522,0.046556,3855116.2012,1.0376,-2699453.4614,-4293274.6303,3855072.3167,
-2699392.7509,-4293230.7176,3855117.9833,-2699391.0572,-4293220.922,3855122.3376,-2699391.3846,-0.072962,-4293234.9837,0.055765,3855117.2313,0.96167,-2699454.1282,-4293274.4022,3855072.1661,
-2699392.663,-4293228.5367,3855119.5059,-2699395.5423,-4293228.0552,3855114.8103,-2699391.8561,-0.045894,-4293234.0918,0.078641,3855116.9382,0.89663,-2699454.4667,-4293274.0683,3855071.8866,
-2699391.9177,-4293225.7443,3855119.4746,-2699392.2775,-4293222.8627,3855124.092,-2699391.9066,-0.014039,-4293232.6473,0.10858,3855118.1159,0.92287,-2699454.5149,-4293273.6091,3855071.7297,
-2699394.1832,-4293224.0927,3855120.9833,-2699389.0465,-4293217.724,3855119.4465,-2699391.5877,-0.021891,-4293230.7275,0.14136,3855118.401,0.99884,-2699454.7306,-4293273.0162,3855071.7863,
-2699397.0336,-4293224.6592,3855123.783,-2699400.704,-4293219.636,3855125.4341,-2699392.6114,-0.056979,-4293229.2953,0.16658,3855119.5693,1.0434,-2699455.3107,-4293272.326,3855071.9122,
-2699398.104,-4293223.7092,3855124.6005,-2699405.3719,-4293227.0599,3855132.1453,-2699394.0461,-0.077961,-4293228.9946,0.17095,3855121.5925,1.0126,-2699456.0398,-4293271.6319,3855071.9051,
-2699397.5942,-4293221.2629,3855123.6161,-2699401.8218,-4293221.4137,3855127.0412,-2699394.9234,-0.062554,-4293228.0097,0.15869,3855122.5152,0.95632,-2699456.5503,-4293271.0019,3855071.7587,
-2699398.1039,-4293220.6314,3855124.0523,-2699397.405,-4293214.3891,3855120.6908,-2699395.2065,-0.044247,-4293226.253,0.14138,3855122.3154,0.96038,-2699456.8967,-4293270.4474,3855071.6754,
-2699398.5915,-4293219.8208,3855124.0648,-2699400.6049,-4293219.4783,3855125.2915,-2699395.815,-0.043967,-4293225.374,0.12159,3855122.8567,1.0262,-2699457.2807,-4293269.973,3855071.7836,
-2699401.5239,-4293218.9019,3855124.885,-2699399.6931,-4293218.0282,3855123.9806,-2699396.2536,-0.060616,-4293224.4236,0.10394,3855123.1181,1.0813,-2699457.8543,-4293269.5685,3855072.0072,
-2699404.1165,-4293218.7863,3855126.0135,-2699409.5473,-4293217.072,3855127.3753,-2699397.7477,-0.056476,-4293223.4738,0.092865,3855123.864,1.0518,-2699457.3765,-4293269.9367,3855071.921,
-2699402.7061,-4293217.7874,3855124.8309,-2699410.9497,-4293219.3024,3855129.3916,-2699399.2307,-0.033144,-4293222.9319,0.090334,3855124.8017,0.97821,-2699457.1512,-4293270.3022,3855072.0296,
-2699403.2574,-4293215.2009,3855127.1072,-2699397.7732,-4293214.9747,3855121.2203,-2699399.0695,0.0048168,-4293221.9057,0.089847,3855124.3317,0.92512,-2699457.283,-4293270.6662,3855072.2299,
-2699404.7758,-4293215.0737,3855126.8571,-2699404.3137,-4293208.7484,3855133.8264,-2699399.6561,0.017817,-4293220.2141,0.087959,3855125.8721,0.95017,-2699457.4772,-4293271.0199,3855072.3264,
-2699405.6812,-4293214.5556,3855126.2258,-2699408.6164,-4293215.5914,3855126.0369,-2699400.6583,0.0025738,-4293219.6148,0.085639,3855125.9793,1.0003,-2699457.4725,-4293271.3662,3855072.2871,
-2699407.8235,-4293216.8666,3855128.0304,-2699407.4171,-4293213.6841,3855124.3126,-2699401.4156,-0.024281,-4293218.8484,0.085716,3855125.8078,1.0147,-2699457.1998,-4293271.7144,3855072.2427,
-2699408.8466,-4293217.6831,3855128.4519,-2699413.6908,-4293223.662,3855133.3327,-2699402.7926,-0.027382,-4293219.457,0.082955,3855127.051,0.98061,-2699456.9617,-4293272.0522,3855072.3173,
-2699410.6937,-4293215.717,3855127.7177,-2699411.1482,-4293219.6181,3855129.677,-2699403.7301,-3.5646e-05,-4293219.4705,0.077088,3855127.5368,0.93231,-2699457.0348,-4293272.3622,3855072.5034,
-2699412.0334,-4293214.2976,3855127.1271,-2699415.5823,-4293210.0417,3855125.2789,-2699405.0573,0.0096676,-4293218.2572,0.071552,3855127.2687,0.9514,-2699457.1554,-4293272.6472,3855072.592,
-2699410.195,-4293212.562,3855128.5555,-2699415.6511,-4293210.1511,3855125.3779,-2699406.2434,-0.016885,-4293217.2136,0.065139,3855127.0602,1.0243,-2699456.9528,-4293272.9056,3855072.4815,
-2699411.7914,-4293211.8774,3855127.6564,-2699403.6295,-4293207.6601,3855132.8427,-2699405.9535,-0.070941,-4293215.9855,0.055893,3855128.0387,1.0868,-2699457.4093,-4293272.4532,3855072.4883,
-2699412.2022,-4293210.0415,3855129.4724,-2699415.3581,-4293209.6852,3855124.9567,-2699407.0136,-0.098961,-4293215.1745,0.046182,3855127.6552,1.0508,-2699457.9706,-4293272.0818,3855072.4908,
