aX,aY,aZ,temperature,gX,gY,gZ
-1372,2240,19196,17.47,-504,358,-1657
-40,1968,17352,17.47,-1103,-1397,-968
-3584,2152,15300,17.42,565,-628,-35
-2688,3932,18060,17.52,990,218,97
-1472,2772,22988,17.42,1697,173,2393
-4544,1544,23196,17.42,-1175,-1321,1312
-580,1400,16324,17.33,326,-485,1573
-3652,1592,15040,17.52,-1271,779,210
796,3064,15076,17.42,-109,-580,520
-1412,2844,16968,17.42,801,-1373,-470
-976,1992,20964,17.47,-1394,1344,-3121
-228,1944,19180,17.47,-815,764,266
504,1976,17920,17.47,-332,-834,-1146
-608,3376,15252,17.47,418,462,117
-296,4020,19012,17.47,840,158,680
-2572,3196,20640,17.38,1564,763,1676
-3072,816,23036,17.33,-880,-1628,2355
-2528,1144,16936,17.42,-241,-981,1954
-1396,1520,13872,17.52,-1418,964,-338
1208,2896,15044,17.33,2215,-423,-1501
-2136,2336,18188,17.33,1795,-1163,-2077
-1128,2468,19448,17.42,-1390,-1671,-3662
1976,3220,16508,17.47,-50,265,-962
2916,3000,16828,17.42,549,124,-170
-368,2852,14492,17.52,643,-50,1012
-232,3772,18080,17.38,431,1074,521
1368,3764,19124,17.38,376,3030,1097
-2200,1808,20428,17.38,-339,59,3091
396,2044,17312,17.38,-1285,-4,1379
-2496,1924,16136,17.38,-634,-315,1670
-1440,2712,15452,17.38,1117,-293,827
-2640,2328,20124,17.38,731,-1621,-278
-40,2040,20716,17.47,-2240,845,-2531
680,2188,15576,17.47,-1058,354,-1481
-716,2172,13464,17.42,-37,399,-1058
-384,3036,14236,17.33,-141,-1039,381
-1220,2868,19552,17.42,1093,-365,498
1976,3904,19452,17.33,-1381,1981,-1699
-2572,1788,15740,17.38,-719,1227,2039
-2692,1316,17952,17.38,-39,-1142,645
-972,2516,13828,17.38,1320,-1824,890
236,2928,17636,17.38,1482,-2914,-80
2416,2940,19128,17.52,-790,2198,-4597
-1000,1264,20332,17.42,-652,-304,-2590
-1464,1856,16896,17.33,-714,-1602,-2395
-1944,2492,16144,17.33,395,314,-466
-1536,3900,17504,17.42,1544,349,104
-596,3128,18964,17.38,3407,-383,993
-1800,1912,22444,17.38,-672,200,924
-1716,1204,19132,17.38,-1460,-893,663
-1216,1772,14768,17.38,-742,1059,109
132,3148,15860,17.38,1074,-334,250
-1656,2948,18348,17.38,-272,-846,-545
