aX,aY,aZ,temperature,gX,gY,gZ
-4380,5068,16272,17,-871,-181,-269
-1632,7232,18920,17,1503,2077,-266
2108,10028,15428,17.05,2245,1999,2647
-2020,6380,15824,16.91,1166,1042,4877
336,5236,15504,16.91,-2669,1392,890
4036,5484,15708,16.86,2323,-2907,3356
1344,6036,16204,16.86,1337,-2186,-3477
6616,8324,17664,16.95,-1008,-1161,-2134
8,4416,19912,17.05,548,-833,-2321
-1288,4760,17572,16.91,-2247,-494,-3006
-2248,5340,14232,17.09,-184,1324,-2288
2116,8504,15580,17.05,2183,1651,163
-2328,6976,20528,16.95,2519,2084,647
-7416,4668,21712,17.05,-3910,-1145,-79
1188,5604,14016,16.95,-1895,177,340
2716,5468,11912,16.95,-568,-322,2343
804,5824,14336,16.95,2467,-1629,3887
-2640,5952,19684,16.95,230,-352,-1464
112,5604,21840,17,-4007,-12,-3725
7668,5212,12720,16.91,533,620,-4731
2732,5576,12104,17,724,-1008,-1120
-2172,5764,12996,17,1885,1163,-1190
-468,7304,17064,16.91,2264,2023,-736
1256,7716,18560,17,-575,2670,-834
-160,6264,16316,16.95,-1670,-310,5370
-1436,4272,12740,16.95,-1011,-757,3638
560,5212,15752,16.95,503,-2840,4179
2676,5992,18344,17.05,1480,-298,-2701
5652,8088,15772,16.95,1946,-1985,-5717
-2644,3880,23208,16.95,-2494,-4270,-4952
2516,5424,13092,17.05,-6568,1712,-4631
-1976,7364,14576,16.95,-863,470,-3366
-264,7424,17620,17.05,2642,-738,-1383
-2832,6592,20412,16.95,1824,2343,-7
-3144,6052,23612,16.91,-1057,1066,2490
-1424,4660,17636,17,-2540,1098,-38
-1744,5320,12676,17,-1079,1719,-1807
2452,6556,11784,16.91,2569,-1152,1000
944,7700,20164,16.91,1151,-2274,509
-840,7528,18676,16.95,-2789,368,-4850
3600,6784,11772,16.95,-1048,1841,-3549
5008,7252,10348,17.14,1789,-2468,-710
-2692,7060,15308,17.05,2913,-30,635
664,8240,16552,16.95,1679,1722,1420
-2236,6344,22140,17,565,-577,2914
-4256,4692,16532,17,-1858,-1140,1320
116,4480,13380,16.91,-2391,2988,-868
1100,7292,13780,16.91,1162,-1648,3437
-712,5940,18532,16.95,725,-1428,-1370
-1796,7052,19060,17.05,152,-3453,415
3240,6548,15540,16.95,1613,-477,-1124
-2000,5736,15232,16.91,-1378,-48,279
-656,6232,13860,16.91,-153,139,1925
772,7724,17812,16.91,-141,-383,1365
-3288,6776,21388,16.91,1067,3370,1433
-2884,5436,22340,16.91,-608,1177,2812
456,4584,17636,16.95,-1459,405,-109
608,5200,13060,16.95,-905,844,959
24,6264,14984,16.95,676,601,882
-920,6208,20644,16.91,531,-357,1292
-712,5856,20788,16.95,-1613,1234,-3067
2460,5516,11264,16.91,-2070,1989,-1971
4872,5492,12916,16.91,-633,-161,86
308,6296,13584,16.95,2709,-2003,-685
104,7700,18840,16.95,2681,-974,-1022
-1328,7404,20520,17.05,-2214,1099,-639
1028,7600,12504,17,258,-385,2094
-164,4632,14492,17,-814,320,1299
1236,5520,14280,16.95,791,-966,1778
-1548,6024,19216,16.95,764,142,-2125
3476,9124,20320,16.95,-1572,670,-3049
-220,4380,17440,16.95,-29,-1501,-890
-1536,4972,15436,16.91,-1441,-254,-1430
-2076,5956,13876,17,-307,496,-959
-268,7792,16900,16.91,236,565,-1172
-84,7828,16864,17.05,3164,2299,2618
-3784,5508,19832,17.05,94,-794,3374
-252,4116,13336,16.95,-4032,2071,-1409
3300,6012,12344,16.86,786,-74,2651
1708,6216,16204,16.91,3109,-413,-82
-124,7516,21488,17,1413,-2145,-92
-1420,6416,17404,16.86,-1450,-1533,-4494
1096,5740,9828,16.86,-1005,-114,-5138
676,6032,11568,16.95,66,1148,-2521
-2380,7656,15396,16.95,1431,-363,1289
1296,7576,18004,16.91,3469,971,757
-4220,6860,18364,17,-2715,647,380
536,6684,13216,17,-2391,2558,3242
2220,5628,12048,16.95,-1631,1355,1402
4364,6964,14920,16.95,2355,-1365,3101
