timestamp,aX,aY,aZ,temperature,gX,gY,gZ
15:23:28.522,  500,1104,18252,25.38,441,-1239,-608
15:23:28.627, -444,2236,21644,25.33,473,373,918
15:23:28.742,-1916,2732,19184,25.24,307,1757,3135
15:23:28.818,-1468,1540,14708,25.28,-1166,-716,4497
15:23:28.938,  984,-228,12108,25.33,-2835,-3477,3186
15:23:29.048, 1844,-728,15612,25.28,-727,-1419,1293
15:23:29.158,  820,-1168,19964,25.24,-1425,-1106,-1385
15:23:29.258,-1888,-2176,20056,25.28,419,2971,-2656
15:23:29.363,-1008,-948,16388,25.24,214,-565,-2112
15:23:29.468,  872,244,12144,25.24,907,2427,-1493
15:23:29.544, 1312,788,13744,25.28,937,-668,129
15:23:29.654,  736,1172,18440,25.28,821,-89,1209
15:23:29.760, -748,1776,22680,25.24,2021,737,2841
15:23:29.874,-1936,2636,18572,25.33,237,3004,4964
15:23:29.988, -708,1260,13312,25.19,-2368,96,5228
15:23:30.063, 1308,-496,12648,25.14,-2007,-2158,3245
15:23:30.177, 1072,-208,17180,25.19,-479,-769,1026
15:23:30.283,  208,-496,20444,25.33,-835,-602,-1874
15:23:30.393,-2068,-1840,19760,25.24,-591,2393,-3855
15:23:30.469,-2104,448,16768,25.28,1629,732,-4088
15:23:30.579,  728,2436,12020,25.24,2117,206,-3192
15:23:30.688, 1600,1968,12984,25.28,-335,-2613,-1401
15:23:30.802,  364,2580,19080,25.24,909,-442,1569
15:23:30.908,-1944,3244,23728,25.28,1671,4013,2770
15:23:31.013,-1832,3272,18232,25.19,44,84,3959
15:23:31.123,  180,1320,13056,25.24,-2220,-1498,5621
15:23:31.195, 1140,-608,12316,25.28,-3271,-3487,4126
15:23:31.300, 1196,-476,17428,25.28,-266,-728,1317
15:23:31.406,  756,-188,21492,25.24,1191,2747,-1308
15:23:31.515,-2204,-2664,19908,25.24,856,4035,-1469
15:23:31.629,-2004,-1680,16176,25.19,-204,-1881,-3832
15:23:31.734, 1124,-536,11900,25.24,39,-3654,-3733
15:23:31.840, 1920,548,14056,25.24,-1056,-2689,-2172
15:23:31.916, 1884,1024,18888,25.28,-804,-3096,-299
15:23:32.031,  168,1592,21812,25.28,-107,2048,1200
15:23:32.136, -248,1248,17344,25.24,2066,3993,2207
15:23:32.245,  972,-508,12504,25.24,268,1749,1063
15:23:32.359, 1896,-312,15116,25.19,-1387,-1965,709
15:23:32.431, 1208,316,19748,25.24,-2068,-472,-196
15:23:32.541,  512,-2732,21012,25.19,-1153,-163,-2010
15:23:32.651,-1504,-3612,17592,25.24,700,983,-4132
15:23:32.761, -716,-696,14220,25.24,1696,-163,-5520
15:23:32.870, 2592,1800,11484,25.19,2556,401,-3696
15:23:32.947, 2560,3032,14708,25.24,-1012,-113,-1658
15:23:33.051, 1880,3388,20492,25.09,2521,1062,1141
15:23:33.160,-1144,3248,21700,25.05,765,4442,1866
15:23:33.275,-1380,1392,17468,25.05,-358,234,4637
15:23:33.389,  276,1216,11840,25.09,-1773,-1079,4727
15:23:33.461, 1816,284,12784,25.14,-2355,-1609,2796
15:23:33.561, 1108,124,19296,25.19,-488,306,674
15:23:33.675,-1424,-884,22468,25.14,1115,3377,-2695
15:23:33.785,-1812,-548,17844,25.19,1559,938,-3244
15:23:33.899, -832,956,14612,25.05,770,-82,-2319
15:23:33.975, 1836,2320,12044,25.14,-270,-2901,-356
15:23:34.081, 1748,1888,16132,25.09,-126,-1273,1329
15:23:34.186, 1140,2448,20820,25.14,1758,-1558,3097
15:23:34.296,-1592,3212,20644,25.19,-320,2700,4252
15:23:34.402,-1264,3020,16324,25.14,-2088,1548,5353
15:23:34.511,  276,1356,11876,25.14,-2044,583,4661
15:23:34.621, 1380,-32,14004,25.09,-3121,-1655,3235
15:23:34.697, -148,-424,19868,25.14,-894,963,1627
15:23:34.800,-2400,-2312,21920,25.14,-978,3808,-1243
15:23:34.904,-1228,-1996,17496,25.09,276,-24,-2834
15:23:35.014, -388,384,14640,25.14,2401,732,-3872
15:23:35.120, 1388,1476,13504,25.14,1020,-2688,-2011
15:23:35.224, 1420,1288,16028,25.19,708,-2137,-197
15:23:35.334,  476,3180,20060,25.05,3145,-1323,1648
15:23:35.448,-1184,3660,18872,25.05,1548,4203,2682
15:23:35.521,-1072,2228,15296,25.09,796,2406,4678
15:23:35.631, -216,996,13496,25.05,-2090,2229,4264
15:23:35.745, -512,1308,15808,25.05,-2104,-1289,2651
15:23:35.850,-1560,1304,20044,25.0,-967,-53,646
15:23:35.964,-3120,-988,20036,25.09,70,2168,-1104
15:23:36.036,-2464,-1104,17244,25.14,-455,-1300,-3096
15:23:36.145,   36,612,12872,25.0,-334,-1222,-2966
15:23:36.259, 1768,1128,12656,25.14,-673,-3108,-1806
15:23:36.373, 1612,1436,17496,25.05,1809,-859,-321
15:23:36.450,  548,2672,21532,25.05,2248,1878,1716
15:23:36.554,-1580,2636,18604,25.09,-859,1932,3986
15:23:36.665,-1116,652,15096,24.95,-2174,-861,5080
15:23:36.774, 1204,-1032,12528,25.05,-2573,-2587,2431
15:23:36.884, 2208,-880,15848,25.0,-653,-908,509
15:23:36.994,  236,-952,20100,24.95,-724,1346,-2332
15:23:37.067,-1668,-3560,20340,25.09,-1226,2583,-5093
15:23:37.176,-1348,-1848,16548,25.05,-267,-432,-6200
15:23:37.283,  268,260,13060,25.05,1345,1207,-5108
15:23:37.388, 1632,424,13568,25.09,929,-574,-3214
15:23:37.502,  460,560,17612,25.05,1316,-993,-1405
15:23:37.611,-1544,1200,21352,25.14,1350,4331,707
15:23:37.687,-1820,2540,17984,25.0,1158,2587,1604
15:23:37.801, -820,1204,15576,25.14,-693,55,3072
15:23:37.911,  980,68,13440,25.14,-2015,-2243,2475
15:23:38.026, 1108,580,16744,25.05,20,-1006,1904
15:23:38.095, -904,68,20960,25.09,74,152,-14
15:23:38.203,-2628,-2388,19072,25.0,278,1663,-2602
15:23:38.312,-1852,-1448,15852,25.05,422,-956,-4564
15:23:38.421,  344,304,12840,25.05,1314,1485,-3509
15:23:38.525,  876,996,14292,25.05,874,-604,-2436
15:23:38.629, -620,1480,19116,25.05,1599,-1683,-1876
15:23:38.737,-1380,2552,20816,25.0,156,576,-719
15:23:38.813,-1680,3260,17744,25.05,1,1610,2104
15:23:38.928, -880,1564,14408,25.05,-1959,959,2686
15:23:39.037, 1288,636,13876,25.09,-1388,-1743,1481
15:23:39.150, 1012,764,17128,25.0,-1083,-2013,613
15:23:39.227,-1276,-636,20860,25.14,-1612,496,-374
15:23:39.336,-1396,-3036,17704,25.09,-1862,118,-2331
15:23:39.450,-1468,-612,15612,25.09,1123,977,-3470
15:23:39.560, 1488,1128,12272,25.14,1388,-1360,-2156
15:23:39.666,  596,44,15068,25.09,234,-620,-2197
15:23:39.776,   32,624,19256,25.09,475,1300,-335
15:23:39.852,-1660,1092,20868,25.0,235,2361,586
15:23:39.966,-1276,1692,17012,25.14,190,1380,1779
15:23:40.070, -604,148,14996,25.09,-1276,550,2201
15:23:40.176,  728,-24,14716,25.0,-1255,-2427,1215
15:23:40.284, -344,680,18300,25.0,-1858,-1402,502
15:23:40.360, -860,-1424,19624,25.14,-2173,-937,-1309
15:23:40.474, -816,-2448,18000,25.05,-840,1899,-2762
15:23:40.584, -996,-684,15160,25.05,1531,162,-3607
15:23:40.698, 1476,904,12980,25.09,2669,-921,-2506
15:23:40.807, 1212,944,15540,25.09,514,756,-1969
15:23:40.881, -636,1348,18860,25.14,1251,370,370
15:23:40.989,-2776,2192,20084,25.14,1513,1980,2023
15:23:41.101,-1400,2096,17096,25.09,-958,653,3050
15:23:41.211,  436,332,13688,25.19,-722,-938,2951
15:23:41.287, 1176,548,14932,25.09,-1707,-2198,815
15:23:41.401,-1180,428,18844,25.05,-2864,-1194,-1173
15:23:41.515,-1564,-1688,20200,25.05,-418,1463,-1943
15:23:41.629,-1276,-2380,17392,25.09,-27,2362,-2687
15:23:41.701, -800,-224,14740,25.05,956,1463,-3192
15:23:41.802, 1032,636,14348,25.05,1767,-641,-1393
15:23:41.912,  876,1188,17116,25.09,123,-1510,-575
15:23:42.021,  740,872,19636,25.09,620,-2441,-56
15:23:42.135, -652,2196,18504,25.14,1553,1500,2504
15:23:42.250,-1028,792,16656,25.14,-1440,-138,3912
